Radnik,Pon,Uto,Sri,Cet,Pet,Sub,Ned
31014,27,27,27,27,27,O,644
31016,62,62,62,62,62,O,653
31019,I-GO,I-GO,I-GO,210,210,514,718
31020,297,Oz,297,297,297,578,O
31022,78,78,78,O,53,448,Oz
31023,3,106,102,104,108,O,636
31025,I-PN,I-PN,I-PN,I-PN,I-PN,O,O
31026,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31027,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31029,856,856,856,856,856,481,O
31030,O,381,381,381,381,381,806
31031,857,857,857,857,857,520,O
31034,867,867,867,867,867,490,O
31035,48,48,48,46,46,46,O
31039,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31041,100,100,100,100,100,430,O
31045,69,69,68,68,69,445,O
31047,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31049,Oz,67,20,91,96,411,639
31053,287,287,287,Oz,287,287,759
31055,382,382,382,382,382,O,O
31056,222,222,222,222,153,Oz,Oz
31057,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31063,258,258,258,258,Oz,Oz,723
31064,35,35,35,36,36,O,645
31068,303,303,326,326,331,O,O
31070,854,854,854,854,854,O,O
31071,36,36,36,32,32,422,O
31072,321,321,321,321,321,Oz,Oz
31073,O,70,69,69,70,O,662
31075,Oz,92,92,67,878,456,O
31076,39,41,41,41,41,426,O
31081,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31082,43,43,43,50,51,O,649
31084,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31085,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31086,210,210,210,211,I-DK,O,O
31087,O,291,291,291,290,576,O
31089,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31092,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31094,333,O,333,333,333,601,O
31095,201,O,183,197,194,500,713
31096,132,132,97,132,132,O,O
31097,879,Oz,Oz,269,269,593,696
31099,47,59,O,56,56,429,O
31101,275,Oz,296,260,280,564,750
31102,217,217,217,Oz,217,518,720
31103,285,285,285,284,O,588,764
31104,267,267,266,266,303,559,O
31108,852,852,852,852,852,543,O
31110,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31112,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31114,I-DK,262,290,290,284,555,O
31115,277,881,277,O,277,565,O
31117,18,19,93,22,89,457,O
31118,66,22,23,89,92,464,O
31119,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31120,280,281,261,285,285,Oz,Oz
31123,I-GO,I-GO,I-GO,I-GO,I-GO,497,Oz
31124,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31125,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31126,82,82,O,82,82,O,674
31127,74,74,74,74,74,441,Oz
31128,97,97,Oz,97,97,407,668
31129,233,O,168,169,171,530,695
31131,247,247,247,247,247,542,O
31137,238,238,238,238,238,O,717
31138,195,195,195,195,195,O,O
31143,313,313,313,313,313,O,747
31144,I-GO,I-GO,I-GO,70,68,451,627
31147,273,273,273,275,275,Oz,O
31148,290,275,275,O,276,591,751
31149,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31152,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31157,211,211,211,O,240,596,O
31158,224,224,224,O,O,524,524
31159,58,53,53,I-DK,I-DK,O,O
31163,257,Oz,257,257,257,562,O
31164,73,73,73,73,O,434,669
31165,284,290,O,287,255,585,774
31169,162,185,O,192,197,510,O
31170,116,103,142,78,78,Oz,Oz
31173,855,855,855,O-LR,855,O,O
31175,16,16,16,16,16,Oz,Oz
31176,59,I-DK,I-DK,59,59,59,O
31177,I-GO,I-GO,I-GO,I-GO,I-GO,552,744
31178,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31179,255,279,284,288,293,O,Oz
31181,317,317,311,311,O,568,Oz
31183,I-GO,382,382,382,382,O,O
31184,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31185,860,860,860,860,860,O,O
31186,263,263,263,263,O,557,O
31187,351,351,351,351,351,O,784
