brojSluzbe,linija,vr,nastupSluzbe,od,do,zavrsetakSluzbe
509,127,2,ČRN.,12:40,19:40,GAR.
510,128,1,ČRN.,11:40,18:20,ČRN.
511,128,2,ČRN.,12:00,19:00,GAR.
512,130,1,ČRN.,11:15,17:35,ČRN.
513,131,1,ČRN.,11:40,17:40,ČRN.
514,132,1,S.M.,11:05,17:45,S.M.
515,133,1,S.M.,11:30,18:00,S.M.
516,134,1,ČRN.,11:10,17:50,ČRN.
517,134,2,ČRN.,08:15,14:55,ČRN.
518,135,1,ČRN.,10:30,17:30,ČRN.
519,136,1,ČRN.,11:00,17:00,ČRN.
520,136,2,ČRN.,12:08,18:08,ČRN.
521,137,1,ČRN.,11:15,17:15,ČRN.
522,138,1,BR.T.,13:45,20:35,BR.T.
522,138,1,BR.T.,21:05,21:45,GAR.
523,139,1,RELJ.,11:45,18:30,RELJ.
524,140,1,MIHAL,12:00,14:30,TOMD
524,140,1,TOMD,15:00,20:30,GAR.
525,140,2,MIHAL,17:00,23:40,GAR.
526,142,1,VRAP.,17:30,23:33,GAR.
527,146,1,RELJ.,11:10,17:15,RELJ.
528,146,2,RELJ.,11:37,17:53,RELJ.
529,160,1,S.M.,10:00,16:00,S.M.
530,161,1,S.M.,11:10,17:30,S.M.
531,161,2,S.M.,10:10,16:10,S.M.
532,162,1,S.M.,14:15,21:10,GAR.
533,163,1,S.M.,11:35,18:25,GAR.
534,164,1,S.M.,11:25,18:20,S.M.
535,166,1,GL.K.,13:55,17:00,GL.K.
535,166,1,GL.K.,17:30,21:20,GL.K.
536,168,1,S.M.,11:10,18:05,PREČ
537,168,2,S.M.,12:15,18:00,S.M.
538,172,1,ČRN.,10:18,16:35,ČRN.
539,172,2,ČRN.,11:54,18:09,ČRN.
540,172,3,ČRN.,10:58,17:12,ČRN.
541,172,4,ČRN.,11:17,17:31,ČRN.
542,174,1,ZAPR.,10:30,12:25,ZAPR.
542,174,1,ZAPR.,13:05,17:45,ZAPR.
543,176,1,ČRN.,10:30,17:10,ČRN.
544,176,2,ČRN.,11:20,18:00,ČRN.
545,182,1,ZAPR.,12:15,15:50,ZAPR.
545,182,1,ZAPR.,17:05,19:50,GAR.
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,101,1,BR.T.,19:50,00:00,GAR.
551,101,1,GAR.,00:30,04:20,GAR.
552,102,1,BR.T.,18:10,01:05,GAR.
553,102,2,BR.T.,18:40,00:10,GAR.
554,109,1,ČRN.,17:40,23:20,GAR.
555,109,2,ČRN.,18:00,23:40,GAR.
556,109,3,ČRN.,16:54,23:54,GAR.
557,109,5,ČRN.,17:25,00:25,GAR.
558,110,1,S.M.,17:20,23:50,GAR.
559,110,2,S.M.,19:05,01:50,GAR.
560,112,1,S.M.,18:00,00:35,GAR.
561,113,1,LJUB.,17:45,23:43,GAR.
562,115,1,LJUB.,17:44,23:59,GAR.
563,115,2,LJUB.,18:00,00:19,GAR.
564,115,3,LJUB.,18:16,01:15,GAR.
565,116,1,LJUB.,17:40,23:55,GAR.
566,118,1,T.M.,16:50,23:28,GAR.
567,118,2,T.M.,17:00,23:40,GAR.
568,118,4,T.M.,18:40,01:25,GAR.
569,119,1,ČRN.,17:45,00:45,GAR.
570,120,1,ČRN.,17:07,00:00,GAR.
571,120,2,ČRN.,18:10,01:10,GAR.
572,121,1,ČRN.,17:00,00:00,GAR.
573,121,2,ČRN.,14:50,21:30,ČRN.
574,121,3,ČRN.,14:15,21:15,GAR.
575,124,2,ČRN.,17:10,23:15,GAR.
575,116,1,GAR.,23:45,01:30,GAR.
576,125,1,ČRN.,17:40,00:40,GAR.
577,127,1,ČRN.,17:40,00:40,GAR.
578,128,1,ČRN.,18:20,01:05,GAR.
579,130,1,ČRN.,17:35,23:25,GAR.
580,131,1,ČRN.,17:40,23:35,GAR.
581,132,1,S.M.,17:45,00:35,GAR.
582,133,1,S.M.,18:00,00:40,GAR.
583,134,1,ČRN.,17:50,00:25,GAR.
584,134,2,ČRN.,14:55,21:30,ČRN.
585,135,1,ČRN.,17:30,00:00,GAR.
586,136,1,ČRN.,17:00,23:24,GAR.
587,136,2,ČRN.,18:08,00:44,GAR.
588,137,1,ČRN.,17:15,23:50,GAR.
589,139,1,RELJ.,18:30,00:35,GAR.
590,146,1,RELJ.,17:15,00:00,GAR.
591,146,2,RELJ.,17:53,00:25,GAR.
592,150,1,TBJJ,16:15,22:52,GAR.
593,160,1,S.M.,16:00,19:00,S.M.
593,160,1,S.M.,19:30,00:30,GAR.
594,161,1,S.M.,17:30,23:20,GAR.
595,161,2,S.M.,16:10,22:45,S.M.
596,163,1,S.M.,12:50,18:10,S.M.
596,163,1,S.M.,19:30,21:10,GAR.
597,164,1,S.M.,18:20,00:50,GAR.
598,168,1,PREČ,18:05,01:00,GAR.
599,168,2,S.M.,18:00,00:50,GAR.
600,172,1,ČRN.,16:35,23:00,GAR.
601,172,2,ČRN.,18:09,00:05,ČRN.
601,172,2,ČRN.,01:10,02:10,GAR.
602,172,3,ČRN.,17:12,00:12,GAR.
603,172,4,ČRN.,17:31,00:31,GAR.
604,174,1,ZAPR.,17:45,00:25,GAR.
605,176,1,ČRN.,17:10,23:40,GAR.
606,176,2,ČRN.,18:00,00:30,GAR.
607,,,,,,
608,,,,,,
609,134,2,ČRN.,21:30,00:05,GAR.
609,402,1,GAR.,00:35,04:50,GAR.
610,161,2,S.M.,22:45,01:40,GAR.
610,401,1,GAR.,03:35,04:50,GAR.
611,166,1,GL.K.,21:20,00:30,GAR.
611,403,1,GAR.,00:50,04:50,GAR.
612,PRIČUVA,,GAR.,22:05,00:10,GAR.
612,NL172,,GAR.,00:10,05:05,GAR.
613,125,1,ČRN.,21:50,23:35,GAR.
613,NL172,,GAR.,00:10,05:05,GAR.
614,121,2,ČRN.,21:30,23:40,GAR.
614,NL172,,GAR.,00:10,05:05,GAR.
616,31,1,GAR.,23:50,05:30,GAR.
617,31,2,GAR.,23:50,05:30,GAR.
618,32,1,GAR.,23:30,06:00,GAR.
619,32,2,GAR.,23:10,05:45,GAR.
627,101,1,GAR.,05:30,09:20,BR.T.
627,101,1,BR.T.,09:40,13:35,BR.T.
628,102,1,GAR.,05:00,12:00,BR.T.
629,102,2,GAR.,05:40,12:40,BR.T.
630,105,1,GAR.,06:00,13:00,BR.T.
631,106,1,GAR.,06:10,13:10,KAPT.
632,106,2,GAR.,06:30,13:30,KAPT.
633,109,1,GAR.,06:20,13:20,ČRN.
634,109,2,GAR.,05:20,12:20,ČRN.
635,109,3,GAR.,05:40,11:20,ČRN.
635,120,2,ČRN.,12:15,14:20,ČRN.
636,109,4,GAR.,05:12,11:40,ČRN.
637,110,1,GAR.,04:50,11:45,S.M.
638,110,2,GAR.,05:00,11:30,S.M.
639,111,1,GAR.,05:20,11:20,S.M.
640,112,1,GAR.,06:00,12:50,S.M.
641,113,1,GAR.,05:00,11:55,LJUB.
642,115,1,GAR.,05:05,11:25,LJUB.
643,115,2,GAR.,05:30,11:50,LJUB.
644,116,1,GAR.,06:05,12:40,LJUB.
645,118,1,GAR.,05:20,11:45,T.M.
646,118,2,GAR.,07:35,14:15,T.M.
647,118,3,GAR.,05:40,12:15,T.M.
648,119,1,GAR.,05:15,11:45,ČRN.
649,120,1,GAR.,04:45,09:40,ČRN.
649,120,1,ČRN.,10:05,12:50,ČRN.
650,120,2,GAR.,05:20,12:15,ČRN.
651,121,1,GAR.,05:10,11:30,ČRN.
652,121,2,GAR.,07:35,14:15,ČRN.
653,123,1,GAR.,05:00,11:35,ČRN.
654,123,2,GAR.,05:30,12:05,ČRN.
655,124,1,GAR.,04:50,11:00,ČRN.
656,125,1,GAR.,04:25,08:30,ČRN.
656,PRIČUVA,,ČRN.,08:30,11:25,ČRN.
657,126,1,GAR.,05:10,12:10,ČRN.
658,127,1,GAR.,05:10,12:10,ČRN.
659,128,1,GAR.,05:00,11:40,ČRN.
660,129,1,GAR.,05:50,12:15,KUNIŠ
661,130,1,GAR.,07:10,13:15,ČRN.
661,130,1,ČRN.,13:55,15:50,ČRN.
662,131,1,GAR.,05:30,12:30,ČRN.
663,132,1,GAR.,05:00,11:10,S.M.
664,133,1,GAR.,05:15,11:30,S.M.
665,134,1,GAR.,05:00,12:00,ČRN.
666,134,2,GAR.,06:30,13:30,ČRN.
667,135,1,GAR.,05:00,11:50,ČRN.
668,136,1,GAR.,05:05,11:00,ČRN.
669,136,2,GAR.,05:20,11:23,ČRN.
670,137,1,GAR.,06:30,12:20,ČRN.
670,137,1,ČRN.,12:45,14:50,ČRN.
671,138,1,GAR.,07:35,14:20,BR.T.
672,139,1,GAR.,07:20,14:20,RELJ.
673,142,1,GAR.,07:45,11:30,VRAP.
673,142,1,VRAP.,12:00,15:00,VRAP.
674,146,1,GAR.,05:25,12:10,RELJ.
675,148,1,GAR.,05:40,10:15,RELJ.
675,148,1,RELJ.,11:00,14:00,RELJ.
676,160,1,GAR.,05:40,12:40,S.M.
677,161,1,GAR.,04:50,10:45,S.M.
677,161,2,S.M.,11:00,12:30,S.M.
678,161,2,GAR.,07:10,10:50,S.M.
678,111,1,S.M.,11:20,14:55,S.M.
679,168,1,GAR.,05:00,11:25,S.M.
680,172,1,GAR.,05:00,11:00,ČRN.
681,172,2,GAR.,05:00,11:35,ČRN.
682,176,1,GAR.,05:00,11:30,ČRN.
683,182,1,GAR.,06:25,08:50,ZAPR.
683,182,1,ZAPR.,09:15,14:30,ZAPR.
684,,,,,,
685,,,,,,
686,101,1,BR.T.,13:35,19:35,BR.T.
687,102,1,BR.T.,12:00,18:40,BR.T.
688,102,2,BR.T.,12:40,19:30,GAR.
689,105,1,BR.T.,13:00,20:00,BR.T.
690,109,1,ČRN.,13:20,20:20,GAR.
691,109,2,ČRN.,12:20,19:00,ČRN.
692,109,3,ČRN.,11:20,18:00,ČRN.
693,109,4,ČRN.,11:40,18:20,ČRN.
694,110,1,S.M.,11:45,18:45,S.M.
695,110,2,S.M.,11:30,17:30,S.M.
696,111,1,S.M.,15:25,18:45,S.M.
696,161,2,S.M.,19:30,23:10,GAR.
697,112,1,S.M.,12:50,18:05,S.M.
698,113,1,LJUB.,11:55,17:55,LJUB.
699,115,1,LJUB.,11:25,18:05,LJUB.
700,115,2,LJUB.,11:50,18:30,LJUB.
701,116,1,LJUB.,12:40,19:40,LJUB.
702,118,1,T.M.,11:45,17:45,T.M.
703,118,2,T.M.,14:15,21:00,T.M.
704,118,3,T.M.,12:15,18:15,T.M.
705,119,1,ČRN.,11:45,18:45,ČRN.
706,120,1,ČRN.,14:50,21:00,ČRN.
706,120,1,ČRN.,21:30,22:50,GAR.
707,121,1,ČRN.,11:30,17:30,ČRN.
708,123,1,ČRN.,11:35,17:35,ČRN.
709,123,2,ČRN.,12:05,18:05,ČRN.
710,124,1,ČRN.,11:00,16:50,ČRN.
711,125,1,ČRN.,08:30,15:10,ČRN.
712,126,1,ČRN.,12:10,18:10,ČRN.
713,127,1,ČRN.,12:10,18:10,ČRN.
714,128,1,ČRN.,11:40,18:20,ČRN.
715,129,1,KUNIŠ,12:15,18:15,KUNIŠ
716,131,1,ČRN.,12:30,19:15,ČRN.
717,132,1,S.M.,11:10,17:50,S.M.
718,133,1,S.M.,11:30,17:30,S.M.
719,134,1,ČRN.,12:00,19:00,ČRN.
720,135,1,ČRN.,11:50,17:50,ČRN.
721,136,1,ČRN.,11:00,17:45,ČRN.
722,136,2,ČRN.,11:23,17:23,ČRN.
723,138,1,BR.T.,14:20,21:20,GAR.
724,139,1,RELJ.,14:20,21:20,GAR.
725,142,1,VRAP.,15:00,20:30,VRAP.
725,142,1,VRAP.,21:00,22:34,GAR.
726,146,1,RELJ.,12:10,18:10,RELJ.
727,148,1,RELJ.,14:00,19:15,RELJ.
727,148,1,RELJ.,20:00,22:30,GAR.
728,160,1,S.M.,15:00,22:00,GAR.
729,161,1,S.M.,10:45,17:25,S.M.
730,168,1,S.M.,11:25,17:30,S.M.
731,172,1,ČRN.,11:00,17:15,ČRN.
732,172,2,ČRN.,11:35,17:50,ČRN.
733,176,1,ČRN.,11:30,18:10,ČRN.
734,182,1,ZAPR.,14:30,21:30,GAR.
735,,,,,,
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,102,1,BR.T.,18:40,00:35,GAR.
741,106,1,KAPT.,13:10,20:10,GAR.
742,106,2,KAPT.,13:30,20:30,GAR.
743,109,2,ČRN.,19:00,00:40,GAR.
744,109,3,ČRN.,18:00,23:46,GAR.
745,109,4,ČRN.,18:20,00:10,GAR.
746,110,1,S.M.,18:45,01:45,GAR.
747,110,2,S.M.,17:30,23:50,GAR.
748,112,1,S.M.,18:05,23:30,GAR.
749,113,1,LJUB.,17:55,00:00,GAR.
750,115,1,LJUB.,18:05,23:54,GAR.
751,115,2,LJUB.,18:30,01:04,GAR.
752,118,1,T.M.,17:45,23:35,GAR.
753,118,3,T.M.,18:15,00:05,GAR.
754,119,1,ČRN.,18:45,01:25,GAR.
755,120,2,ČRN.,14:20,16:20,ČRN.
755,120,2,ČRN.,17:35,22:49,GAR.
756,121,1,ČRN.,17:30,23:50,GAR.
757,121,2,ČRN.,14:15,20:50,GAR.
758,123,1,ČRN.,17:35,00:11,GAR.
759,123,2,ČRN.,18:05,23:47,GAR.
760,124,1,ČRN.,16:50,23:23,GAR.
761,125,1,ČRN.,15:10,21:50,ČRN.
762,126,1,ČRN.,18:10,00:30,GAR.
763,127,1,ČRN.,18:10,00:30,GAR.
764,128,1,ČRN.,18:20,00:20,GAR.
765,129,1,KUNIŠ,18:15,01:10,GAR.
766,130,1,ČRN.,16:50,23:10,GAR.
767,131,1,ČRN.,19:15,01:35,GAR.
768,132,1,S.M.,17:50,23:52,GAR.
769,133,1,S.M.,17:30,00:30,GAR.
770,134,2,ČRN.,15:30,22:20,GAR.
771,135,1,ČRN.,17:50,23:20,GAR.
772,136,1,ČRN.,17:45,00:09,GAR.
773,136,2,ČRN.,17:23,23:39,GAR.
774,137,1,ČRN.,17:30,23:10,GAR.
775,146,1,RELJ.,18:10,23:55,GAR.
776,161,1,S.M.,17:25,00:25,GAR.
777,168,1,S.M.,17:30,00:15,GAR.
778,172,1,ČRN.,17:15,00:15,GAR.
779,172,2,ČRN.,17:50,00:50,GAR.
780,176,1,ČRN.,18:10,00:45,ČRN.
780,176,1,ČRN.,01:10,02:10,GAR.
781,,,,,,
782,,,,,,
783,,,,,,
784,101,1,BR.T.,19:35,00:14,GAR.
784,116,1,GAR.,01:45,04:20,GAR.
785,111,1,S.M.,18:45,00:25,GAR.
786,134,1,ČRN.,19:00,23:50,GAR.
786,403,1,GAR.,00:50,03:55,GAR.
787,116,1,LJUB.,19:40,23:15,GAR.
787,401,1,GAR.,02:40,03:55,GAR.
788,118,2,T.M.,21:00,23:50,GAR.
788,402,1,GAR.,00:35,03:55,GAR.
789,,,,,,
790,,,,,,
791,,,,,,
792,,,,,,
793,,,,,,
794,,,,,,
795,,,,,,
796,,,,,,
797,,,,,,
798,,,,,,
799,,,,,,
800,,,,,,
802,PRIČUVA,,GAR.,05:00,12:30,GAR.
803,PRIČUVA,,GAR.,11:00,18:30,GAR.
804,PRIČUVA,,GAR.,11:30,19:00,GAR.
805,PRIČUVA,,GAR.,16:30,00:00,GAR.
806,PRIČUVA,,GAR.,22:00,05:30,GAR.
808,PRIČUVA,,GAR.,21:40,23:50,GAR.
808,31,1,GAR.,23:50,04:40,GAR.
809,PRIČUVA,,GAR.,21:45,23:50,GAR.
809,31,2,GAR.,23:50,04:45,GAR.
810,PRIČUVA,,GAR.,21:55,23:30,GAR.
810,32,1,GAR.,23:30,04:55,GAR.
811,PRIČUVA,,GAR.,22:15,23:10,GAR.
811,32,2,GAR.,23:10,05:15,GAR.
813,31,1,GAR.,23:50,05:30,GAR.
814,31,2,GAR.,23:50,05:30,GAR.
815,32,1,GAR.,23:30,06:00,GAR.
816,32,2,GAR.,23:10,06:00,GAR.
818,PRIČUVA,,GAR.,22:00,00:00,GAR.
818,403,1,GAR.,00:50,04:50,GAR.
819,118,2,T.M.,21:00,23:50,GAR.
819,402,1,GAR.,00:35,04:50,GAR.
820,116,1,LJUB.,19:40,23:15,GAR.
820,401,1,GAR.,02:40,04:50,GAR.
821,PRIČUVA,,ČRN.,17:00,19:00,ČRN.
821,134,1,ČRN.,19:00,23:50,GAR.
852,701,10,GAR.,06:40,13:25,O.Š. G
853,701,10,O.Š. G,13:25,20:20,O.Š. G
854,721,10,GAR.,06:40,13:10,O.Š. L
855,721,10,O.Š. L,13:10,20:10,GAR.
856,722,10,GAR.,06:40,13:10,O.Š. L
857,722,10,O.Š. L,13:10,20:10,GAR.
859,711,11,GAR.,07:00,13:15,O.Š. S
860,711,11,O.Š. S,13:15,20:00,GAR.
861,741,11,GAR.,06:40,13:25,O.Š. H
862,741,11,O.Š. H,13:25,19:05,GAR.
863,711,12,GAR.,07:00,08:25,O.Š. S
863,711,12,O.Š. S,11:35,18:10,GAR.
865,711,11,GAR.,07:00,13:15,O.Š. S
866,711,11,O.Š. S,13:15,19:50,GAR.
867,741,11,GAR.,06:40,13:15,O.Š. H
868,741,11,O.Š. H,13:15,19:45,GAR.
869,711,12,GAR.,07:00,08:25,O.Š. S
869,711,12,O.Š. S,11:35,18:10,GAR.
871,PRIČUVA,,GAR.,05:30,13:00,GAR.
872,PRIČUVA,,GAR.,13:00,20:30,GAR.
877,607,1,GAR.,04:10,10:48,S.M.
878,607,2,GAR.,04:26,11:04,S.M.
879,607,1,S.M.,10:48,17:44,S.M.
880,607,2,S.M.,11:04,18:00,S.M.
881,607,1,S.M.,17:44,00:28,GAR.
882,607,2,S.M.,18:00,00:12,GAR.
883,607,1,GAR.,05:10,11:52,S.M
884,607,2,GAR.,05:20,12:08,S.M.
885,607,1,S.M.,11:52,18:16,S.M.
886,607,2,S.M.,12:08,18:00,S.M.
887,607,1,S.M.,18:16,00:28,GAR.
888,607,2,S.M.,18:00,00:12,GAR.
889,,,,,,
890,130,1,ČRN.,22:05,23:35,GAR.
890,31,1,GAR.,23:50,05:30,GAR.
891,137,1,ČRN.,21:30,23:30,GAR.
891,31,2,GAR.,23:50,05:30,GAR.
892,140,3,GAR.,08:30,15:30,GAR.
