brojSluzbe,linija,vr,nastupSluzbe,od,do,zavrsetakSluzbe
121,,,,,,
122,112,2,GAR.,04:20,07:45,GAR.
122,164,1,S.M.,10:45,15:00,S.M.
123,113,1,GAR.,04:55,08:30,LJUB.
123,116,1,LJUB.,13:20,17:10,LJUB.
124,115,4,GAR.,04:45,09:29,GAR.
124,115,4,GAR.,14:17,16:45,LJUB.
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,127,3,GAR.,05:55,09:50,GAR.
129,127,3,GAR.,13:20,17:25,GAR.
130,128,3,GAR.,04:55,09:00,ČRN.
130,128,3,ČRN.,13:36,17:31,GAR.
131,129,2,GAR.,04:55,09:00,GAR.
131,150,1,TUŠK.,13:00,16:55,GAR.
132,130,1,GAR.,04:25,08:40,ČRN.
132,130,2,ČRN.,11:00,14:40,ČRN.
133,133,3,GAR.,05:25,08:40,GAR.
133,133,3,GAR.,13:15,18:00,GAR.
134,151,1,GAR.,07:00,09:10,ČRN.
134,136,2,ČRN.,12:22,18:12,ČRN.
135,159,1,GAR.,05:00,08:40,GAR.
135,159,1,GAR.,12:20,16:00,GAR.
136,161,2,GAR.,03:50,07:50,S.M.
136,111,1,S.M.,11:10,14:50,S.M.
137,161,3,GAR.,05:10,07:45,GAR.
137,166,1,GL.K.,12:15,17:00,GL.K.
138,164,1,GAR.,04:20,08:15,S.M.
138,112,2,GAR.,11:45,15:50,S.M.
139,172,3,GAR.,04:20,08:25,GAR.
139,172,3,GAR.,12:30,16:20,ČRN.
140,172,5,GAR.,04:35,08:40,GAR.
140,172,5,GAR.,12:40,16:30,ČRN.
141,172,8,GAR.,04:25,09:10,GAR.
141,172,8,GAR.,12:25,15:34,ČRN.
142,176,3,GAR.,04:40,08:15,GAR.
142,176,3,GAR.,11:10,15:00,ČRN.
143,176,5,GAR.,04:30,07:50,GAR.
143,176,2,ČRN.,11:20,15:20,ČRN.
144,176,6,GAR.,04:10,07:55,GAR.
144,176,4,ČRN.,12:00,15:40,ČRN.
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,101,1,BR.T.,11:30,18:00,BR.T.
151,102,1,BR.T.,11:00,18:00,BR.T.
152,102,2,BR.T.,11:10,17:30,BR.T.
153,102,3,BR.T.,10:35,17:35,BR.T.
154,104,1,JAND,12:30,19:00,GAR.
155,105,1,KAPT.,11:15,17:15,KAPT.
156,105,2,BR.T.,13:15,20:10,GAR.
157,106,1,KAPT.,13:10,20:10,GAR.
158,106,2,KAPT.,12:50,19:50,GAR.
159,109,2,ČRN.,11:19,17:05,ČRN.
159,109,2,ČRN.,18:15,18:55,GAR.
160,109,3,GAR.,12:35,18:55,ČRN.
161,109,4,ČRN.,13:03,19:15,GAR.
162,109,5,ČRN.,11:43,17:50,GAR.
163,109,6,ČRN.,13:17,19:25,GAR.
164,109,8,ČRN.,10:42,16:50,GAR.
165,109,10,ČRN.,10:54,16:41,ČRN.
166,109,11,ČRN.,11:06,16:51,ČRN.
167,110,1,S.M.,10:40,17:00,S.M.
167,110,1,S.M.,18:00,19:15,GAR.
168,110,2,S.M.,12:10,19:10,S.M.
169,110,3,S.M.,11:00,18:00,S.M.
170,110,4,S.M.,13:10,19:30,S.M.
170,110,4,S.M.,20:00,21:40,GAR.
171,112,1,S.M.,12:40,19:40,S.M.
172,112,3,S.M.,10:10,17:10,S.M.
173,114,1,PREČ,11:30,18:30,LJUB.
174,115,1,LJUB.,11:04,18:03,LJUB.
175,115,2,LJUB.,11:17,18:14,LJUB.
176,115,3,LJUB.,12:19,18:25,LJUB.
177,115,5,LJUB.,12:32,19:10,GAR.
178,116,2,LJUB.,10:35,16:30,LJUB.
179,118,1,T.M.,11:16,17:39,T.M.
180,118,2,T.M.,10:44,17:07,T.M.
181,118,3,T.M.,12:12,17:57,T.M.
182,118,4,T.M.,11:40,18:00,S.M.
182,118,4,S.M.,18:30,20:10,GAR.
183,118,5,T.M.,11:09,18:09,T.M.
184,119,1,ČRN.,10:45,17:45,ČRN.
185,119,2,ČRN.,11:15,17:41,GAR.
186,120,1,ČRN.,11:30,17:40,ČRN.
187,120,2,ČRN.,11:30,18:25,GAR.
188,120,3,ČRN.,10:55,17:00,ČRN.
189,121,1,ČRN.,10:55,17:45,ČRN.
190,121,2,ČRN.,11:10,18:05,ČRN.
191,121,3,ČRN.,12:20,18:55,GAR.
192,123,1,ČRN.,11:00,17:00,ČRN.
193,123,2,ČRN.,10:30,17:30,ČRN.
194,124,1,ČRN.,11:25,17:50,ČRN.
195,124,2,ČRN.,11:05,18:00,GAR.
